files/4ds.odin:                                                                                   ASCII text
files/CIMI-CORE-ITEM_GROUP.amoxicillin_plus_clav_susc_islt_pre_by_slowmyco.v1.0.0.odin:           UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.amphet_ur_ql_scn.v1.0.0.odin:                                          UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.amphetamines_mec_ql.v1.0.0.odin:                                       UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.amphetamines_mec_ql_post_by_cfm.v1.0.0.odin:                           UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.amphetamines_mec_ql_post_by_scn.v1.0.0.odin:                           UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.amphetamines_mec_ql_pre_by_cfm.v1.0.0.odin:                            UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.amphetamines_mec_ql_pre_by_scn.v1.0.0.odin:                            UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.amphetamines_serpl_ql_pre_by_scn.v1.0.0.odin:                          UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.amphetamines_ur_ql.v1.0.0.odin:                                        UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.amphetamines_ur_ql_post_by_samhsa_cfm.v1.0.0.odin:                     UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.amphetamines_ur_ql_post_by_samhsa_scn.v1.0.0.odin:                     UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.amphetamines_ur_ql_post_by_scn_gt_500_ng_ml.v1.0.0.odin:               UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.amphetamines_ur_ql_pre_by_samhsa_cfm.v1.0.0.odin:                      UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.amphetamines_ur_ql_pre_by_samhsa_scn.v1.0.0.odin:                      UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.amphetamines_ur_ql_pre_by_scn_gt_500_ng_ml.v1.0.0.odin:                UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.amphetamines_ur_ql_scn.v1.0.0.odin:                                    UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.amphetamines_urmcnc.v1.0.0.odin:                                       UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.ampicillin_plus_sulbac_susc_islt.v1.0.0.odin:                          UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.ampicillin_plus_sulbac_susc_islt_post_by_etest.v1.0.0.odin:            UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.ampicillin_plus_sulbac_susc_islt_post_by_kb.v1.0.0.odin:               UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.ampicillin_plus_sulbac_susc_islt_post_by_mic.v1.0.0.odin:              UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.ampicillin_plus_sulbac_susc_islt_post_by_slowmyco.v1.0.0.odin:         UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.ampicillin_plus_sulbac_susc_islt_pre_by_etest.v1.0.0.odin:             UTF-8 Unicode text, with very long lines
